Project Name,Package Name,Architecture Smell,Cause of the Smell
TrackMate,fiji.plugin.trackmate.action.fit,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.util.
TrackMate,fiji.plugin.trackmate.detection,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.gui.components; fiji.plugin.trackmate.io; fiji.plugin.trackmate.visualization.hyperstack; fiji.plugin.trackmate.features
TrackMate,fiji.plugin.trackmate.detection,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DetectionUtils; HessianDetector; HessianDetectorFactory; LabelImageDetector; LabelImageDetectorFactory; LogDetector; LogDetectorFactory; SpotDetector; SpotDetectorFactory; SpotDetectorFactoryBase; SpotGlobalDetectorFactory; ThresholdDetector; ThresholdDetectorFactory; HessianDetectorTestDrive1; DogDetector; DogDetectorFactory; ManualDetectorFactory; MaskDetectorFactory; SpotGlobalDetector]; [DetectorKeys]; [MaskUtils]; [MaskUtils.Outline]; [HessianDetectorTestDrive2]. LCC (Lack of Component Cohesion) = 0.22
TrackMate,fiji.plugin.trackmate,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 48
TrackMate,fiji.plugin.trackmate,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.features.edges; fiji.plugin.trackmate.features.track; fiji.plugin.trackmate.io; fiji.plugin.trackmate.visualization; fiji.plugin.trackmate.gui.wizard; fiji.plugin.trackmate.gui.wizard.descriptors; fiji.plugin.trackmate.gui.components; fiji.plugin.trackmate.util; fiji.plugin.trackmate.visualization.hyperstack; fiji.plugin.trackmate.detection; fiji.plugin.trackmate.tracking.manual; fiji.plugin.trackmate.tracking; fiji.plugin.trackmate.providers; fiji.plugin.trackmate.features.spot; fiji.plugin.trackmate.features; fiji.plugin.trackmate.action; fiji.plugin.trackmate.graph
TrackMate,fiji.plugin.trackmate,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Dimension; FeatureModel; Model; ModelChangeEvent; ModelChangeListener; SelectionModel; Spot; SpotCollection; SpotCollection.AllSpotsIterator; SpotCollection.VisibleSpotsIterator; SpotCollection.VisibleSpotsFrameIterator; SpotRoi; TrackMate; TrackMatePlugIn; TrackMateRunner; TrackMateService; TrackModel; ModelTest; ModelTest.EventLogger; SpotCollectionTest; TestCopy; TrackMatePluginTest; TrackMatePluginTest.TestTrackMatePlugin; TrackModelTest; LoadTrackMatePlugIn; Logger; Logger.StringBuilderLogger; Logger.SlaveLogger; Logger.ImageJLogger; Logger.ImageJToolbarLogger; Logger.VoidLogger; Logger.DefaultLogger; Settings; ManualTrackingPlugIn; SelectionChangeEvent; SelectionChangeListener]; [SpotCollection.WholeCollectionIterable]; [SpotCollection.FrameVisibleIterable]; [TrackMateModule]; [TrackMateRunner.FilterGenerator]; [TrackMateRunner.FilterAboveGenerator]; [TrackMateRunner.MacroArgumentConverter]; [TrackMateRunner.DoubleMacroArgumentConverter]; [TrackMateRunner.IntegerMacroArgumentConverter]; [TrackMateRunner.BooleanMacroArgumentConverter]; [TrackModel.MyTraversalListener]; [TrackModel.MyGraphListener]; [TrackModel.DefaultNameGenerator]. LCC (Lack of Component Cohesion) = 0.27
TrackMate,fiji.plugin.trackmate,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate.tracking; fiji.plugin.trackmate.detection.
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.features.edges; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.features.track; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.io; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.displaysettings; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.visualization; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.wizard; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.wizard.descriptors; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.components; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.util; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.visualization.hyperstack; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.detection; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.tracking.manual; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.tracking; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.features.spot; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.features; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.action; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.graph; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.visualization; fiji.plugin.trackmate.features.manual; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.wizard; fiji.plugin.trackmate.gui.editor; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.visualization.hyperstack; fiji.plugin.trackmate.detection.semiauto; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.providers; fiji.plugin.trackmate.util; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.action; fiji.plugin.trackmate.action.closegaps; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.action; fiji.plugin.trackmate.action.fit; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.io; fiji.plugin.trackmate.tracking.jaqaman; fiji.plugin.trackmate.tracking.jaqaman.costfunction; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate; fiji.plugin.trackmate.util; fiji.plugin.trackmate.visualization.table; fiji.plugin.trackmate.visualization.trackscheme.utils; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate.features,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.features.spot
TrackMate,fiji.plugin.trackmate.features,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractFeatureGrapher; EdgeFeatureGrapher; ModelDataset; SpotCollectionDataset; SpotFeatureGrapher; TrackCollectionDataset; TrackFeatureGrapher; EdgeCollectionDataset]; [EdgeCollectionDataset.MyXYItemRenderer]; [EdgeFeatureCalculator; ModelFeatureUpdater; SpotFeatureCalculator; TrackFeatureCalculator]; [FeatureAnalyzer]; [FeatureFilter]; [FeatureUtils]; [ModelDataset.DataItem]; [SpotCollectionDataset.MyXYItemRenderer]; [TrackCollectionDataset.MyXYItemRenderer]; [SpotFeatureComputationBenchmark]. LCC (Lack of Component Cohesion) = 0.5
TrackMate,fiji.plugin.trackmate.features.edges,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractEdgeAnalyzer]; [DirectionalChangeAnalyzer]; [EdgeAnalyzer]; [EdgeSpeedAnalyzer]; [EdgeTargetAnalyzer]; [EdgeTimeLocationAnalyzer]. LCC (Lack of Component Cohesion) = 1.0
TrackMate,fiji.plugin.trackmate.features.manual,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.features.spot
TrackMate,fiji.plugin.trackmate.features.track,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractTrackAnalyzer]; [TrackAnalyzer]; [TrackBranchingAnalyzer; TrackBranchingAnalyzerTest]; [TrackDurationAnalyzer; TrackMotilityAnalyzer; TrackSpeedStatisticsAnalyzer; TrackDurationAnalyzerTest; TrackSpeedStatisticsAnalyzerTest]; [TrackIndexAnalyzer; TrackIndexAnalyzerTest]; [TrackLocationAnalyzer; TrackLocationAnalyzerTest]; [TrackSpotQualityFeatureAnalyzer]; [TrackBranchingAnalyzerTest.TestTrackBranchingAnalyzer]; [TrackDurationAnalyzerTest.TestTrackDurationAnalyzer]; [TrackIndexAnalyzerTest.TestTrackIndexAnalyzer]; [TrackLocationAnalyzerTest.TestTrackLocationAnalyzer]; [TrackSpeedStatisticsAnalyzerTest.TestTrackSpeedStatisticsAnalyzer]. LCC (Lack of Component Cohesion) = 0.63
TrackMate,fiji.plugin.trackmate.graph,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.visualization.trackscheme
TrackMate,fiji.plugin.trackmate.graph,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConvexBranchesDecomposition; TimeDirectedNeighborIndex; ConvexBranchDecompositionDebug; Function1; GraphUtils; RecursiveCumSum; SortedDepthFirstIterator; TimeDirectedDepthFirstIterator; TimeDirectedSortedDepthFirstIterator; RecursiveCumSumTest; SortedDepthFirstIteratorTest; Function2]; [ConvexBranchesDecomposition.TrackBranchDecomposition]; [FromContinuousBranches]; [OutputFunction]; [SortedDepthFirstIterator.VisitColor]; [SortedDepthFirstIterator.Specifics]; [SortedDepthFirstIterator.DirectedSpecifics]; [SortedDepthFirstIterator.UndirectedSpecifics]; [StringFormater]; [TimeDirectedNeighborIndex.Neighbors]. LCC (Lack of Component Cohesion) = 0.48
TrackMate,fiji.plugin.trackmate.graph,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate.graph; fiji.plugin.trackmate.visualization.trackscheme; fiji.plugin.trackmate.graph
TrackMate,fiji.plugin.trackmate.gui.components,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.action; fiji.plugin.trackmate.features
TrackMate,fiji.plugin.trackmate.gui.components,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActionChooserPanel; LogPanel; ModuleChooserPanel]; [CategoryJComboBox; FeatureDisplaySelector; FilterGuiPanel; FilterPanel; InitFilterPanel; LogHistogramDataset; XYTextSimpleAnnotation; ConfigureViewsPanel]; [ConfigurationPanel]; [FeatureDisplaySelector.FeatureSelectorPanel]; [FeatureDisplaySelector.CanvasColor]; [FeaturePlotSelectionPanel; GrapherPanel]; [FeaturePlotSelectionPanel.PlotAction]; [FilterGuiPanel.ProgressBarLogger]; [FilterPanel.MyKeyListener]; [LogPanel.LogPanelLogger]; [ModuleChooserPanel.MyListCellRenderer]. LCC (Lack of Component Cohesion) = 0.52
TrackMate,fiji.plugin.trackmate.gui.components,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.action; fiji.plugin.trackmate.util; fiji.plugin.trackmate.providers.
TrackMate,fiji.plugin.trackmate.gui.components,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.util; fiji.plugin.trackmate.features.
TrackMate,fiji.plugin.trackmate.gui.components.detector,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DogDetectorConfigurationPanel; LogDetectorConfigurationPanel]; [HessianDetectorConfigurationPanel]; [LabelImageDetectorConfigurationPanel; ThresholdDetectorConfigurationPanel; MaskDetectorConfigurationPanel]; [ManualDetectorConfigurationPanel]. LCC (Lack of Component Cohesion) = 0.57
TrackMate,fiji.plugin.trackmate.gui.components.detector,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate.util; fiji.plugin.trackmate.
TrackMate,fiji.plugin.trackmate.gui.components.tracker,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AdvancedKalmanTrackerSettingsPanel; JPanelAdvancedKalmanTrackerSettingsMain; JPanelFeatureSelectionGui; JPanelTrackerSettingsMain; LAPTrackerSettingsPanel; JPanelFeaturePenalty]; [KalmanTrackerConfigPanel]; [NearestNeighborTrackerSettingsPanel]; [OverlapTrackerSettingsPanel]; [SimpleLAPTrackerSettingsPanel]. LCC (Lack of Component Cohesion) = 0.5
TrackMate,fiji.plugin.trackmate.gui.displaysettings,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
TrackMate,fiji.plugin.trackmate.gui.displaysettings,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.features.track; fiji.plugin.trackmate.gui.components; fiji.plugin.trackmate
TrackMate,fiji.plugin.trackmate.gui.displaysettings,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BoundedValue; SliderPanel; SliderPanelDouble; StyleElements; StyleElements.IntElement; BoundedValueDouble; StyleElements.BoundedDoubleElement; ColorIcon; Colormap; ColormapIO; DisplaySettings; DisplaySettingsIO; DisplaySettingsPanel; StyleElements.ColormapRenderer; ConfigTrackMateDisplaySettings]; [BoundedValue.UpdateListener]; [BoundedValueDouble.UpdateListener]; [DisplaySettings.TrackDisplayMode]; [DisplaySettings.TrackMateObject]; [DisplaySettings.UpdateListener]; [DisplaySettingsIO.ColormapSerializer]; [DisplaySettingsIO.ColorSerializer]; [SliderPanelDouble.RangeListener]; [StyleElements.StyleElementVisitor]; [StyleElements.StyleElement]; [StyleElements.Separator]; [StyleElements.LabelElement]; [StyleElements.StringElement]; [StyleElements.EnumElement]; [StyleElements.ListElement]; [StyleElements.FeatureElement]; [StyleElements.ColorElement]; [StyleElements.BooleanElement]; [StyleElements.DoubleElement]; [StyleElements.ColormapElement]; [StyleElements.FontElement]. LCC (Lack of Component Cohesion) = 0.61
TrackMate,fiji.plugin.trackmate.gui.editor,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.util.
TrackMate,fiji.plugin.trackmate.gui,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.util
TrackMate,fiji.plugin.trackmate.gui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate.gui; fiji.plugin.trackmate.util; fiji.plugin.trackmate.gui
TrackMate,fiji.plugin.trackmate.gui.wizard,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.gui.wizard.descriptors; fiji.plugin.trackmate.gui.editor; fiji.plugin.trackmate.action
TrackMate,fiji.plugin.trackmate.gui.wizard,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractAnimator; TransitionAnimator; WizardPanel; WizardPanel.AnimatorPanel; WizardPanelDescriptor; WizardSequence; TrackMateWizardSequence; WizardController]; [TrackMateWizardSequence.LaunchTrackSchemeAction]; [TrackMateWizardSequence.ShowTrackTablesAction]; [TrackMateWizardSequence.ShowSpotTableAction]; [TransitionAnimator.Direction]. LCC (Lack of Component Cohesion) = 0.42
TrackMate,fiji.plugin.trackmate.gui.wizard.descriptors,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActionChooserDescriptor]; [ChooseDetectorDescriptor]; [ChooseTrackerDescriptor]; [ConfigureViewsDescriptor]; [ExecuteDetectionDescriptor]; [ExecuteTrackingDescriptor]; [GrapherDescriptor]; [InitFilterDescriptor]; [LogPanelDescriptor2]; [SaveDescriptor]; [SpotDetectorDescriptor]; [SpotFilterDescriptor]; [SpotTrackerDescriptor]; [StartDialogDescriptor]; [StartDialogDescriptor.RoiSettingsPanel]; [TrackFilterDescriptor]. LCC (Lack of Component Cohesion) = 1.0
TrackMate,fiji.plugin.trackmate.gui.wizard.descriptors,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.components.
TrackMate,fiji.plugin.trackmate.gui.wizard.descriptors,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate.io; fiji.plugin.trackmate; fiji.plugin.trackmate.gui.components.
TrackMate,fiji.plugin.trackmate.gui.wizard.descriptors,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.components; fiji.plugin.trackmate.providers; fiji.plugin.trackmate.util; fiji.plugin.trackmate.detection.
TrackMate,fiji.plugin.trackmate.gui.wizard.descriptors,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.components; fiji.plugin.trackmate.util.
TrackMate,fiji.plugin.trackmate.io,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.graph; fiji.plugin.trackmate.tracking.jaqaman; fiji.plugin.trackmate.features; fiji.plugin.trackmate.features.spot; fiji.plugin.trackmate.gui.wizard.descriptors; fiji.plugin.trackmate.visualization.trackscheme
TrackMate,fiji.plugin.trackmate.io,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CSVExporter; TmXmlReader; IcyTrackFormatWriter; IOUtils; TmXmlWriter; SettingsPersistence]; [CSVExporter.SpotWriter]; [TGMMImporter]; [TmXmlKeys]. LCC (Lack of Component Cohesion) = 0.44
TrackMate,fiji.plugin.trackmate.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate.io; fiji.plugin.trackmate.tracking.jaqaman; fiji.plugin.trackmate.io
TrackMate,fiji.plugin.trackmate.providers,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.features.spot
TrackMate,fiji.plugin.trackmate.tracking.jaqaman.costmatrix,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CostMatrixCreator; DefaultCostMatrixCreator; JaqamanLinkingCostMatrixCreator; JaqamanSegmentCostMatrixCreator; ResizableDoubleArray; SparseCostMatrix; SparseCostMatrixTest; GraphSegmentSplitter; LAPJV]; [DefaultCostMatrixCreator.Assignment]. LCC (Lack of Component Cohesion) = 0.2
TrackMate,fiji.plugin.trackmate.tracking.jaqaman,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.tracking.jaqaman.costmatrix
TrackMate,fiji.plugin.trackmate.tracking.jaqaman,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JaqamanLinker; SegmentTracker; SparseLAPFrameToFrameTracker; SparseLAPTracker; LAPUtils; SegmentTrackerFactory; SparseLAPTrackerFactory]; [SimpleSparseLAPTrackerFactory]. LCC (Lack of Component Cohesion) = 0.25
TrackMate,fiji.plugin.trackmate.tracking.jaqaman,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.tracking.jaqaman.costmatrix.
TrackMate,fiji.plugin.trackmate.tracking.jaqaman,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate.tracking.jaqaman; fiji.plugin.trackmate.tracking.jaqaman.costmatrix; fiji.plugin.trackmate.tracking.jaqaman
TrackMate,fiji.plugin.trackmate.tracking.kalman,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AdvancedKalmanTracker; KalmanTracker; KalmanTrackerInteractiveTest; KalmanTrackerInteractiveTest2; KalmanTrackerInteractiveTest3; CVMKalmanFilter]; [AdvancedKalmanTrackerFactory]; [KalmanTrackerFactory]. LCC (Lack of Component Cohesion) = 0.38
TrackMate,fiji.plugin.trackmate.tracking.kalman,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate.gui.displaysettings; fiji.plugin.trackmate; fiji.plugin.trackmate.features.track; fiji.plugin.trackmate.visualization.hyperstack; fiji.plugin.trackmate.visualization.trackscheme.
TrackMate,fiji.plugin.trackmate.tracking.kdtree,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate.tracking.kdtree; fiji.plugin.trackmate.util; fiji.plugin.trackmate.tracking.kdtree
TrackMate,fiji.plugin.trackmate.tracking,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.gui.components
TrackMate,fiji.plugin.trackmate.util,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
TrackMate,fiji.plugin.trackmate.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.detection; fiji.plugin.trackmate.features; fiji.plugin.trackmate.visualization.table; fiji.plugin.trackmate.tracking.kdtree; fiji.plugin.trackmate.gui.components; fiji.plugin.trackmate.graph
TrackMate,fiji.plugin.trackmate.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AlphanumComparator]; [ChartExporter; ExportableChartPanel; ExportableChartValueTable; FileChooser; ChartEporterExample]; [DefaultFileFilter]; [DefaultFileFilter.ImageFileFilter]; [DefaultFileFilter.EditorFileFilter]; [DetectionPreview; DetectionPreviewPanel; JLabelLogger; QualityHistogramChart; Threads; TMUtils; SpotNeighborhood; SpotNeighborhoodCursor; SpotUtil]; [DetectionPreview.Builder]; [EverythingDisablerAndReenabler]; [FileChooser.DialogType]; [FileChooser.SelectionMode]; [ImageHelper]; [JLabelLogger.LoggerInJLabel]; [LogRecorder]; [ModelTools]; [OnRequestUpdater]; [OnRequestUpdater.Refreshable]; [PainterThread]; [PainterThread.Paintable]; [QualityHistogramChart.MyKeyListener]; [SpotUtil.SpotRoiIterable]; [SpotUtil.MyCursor]; [TrackNavigator]; [WrapLayout]; [SpotRoiIterableTest]. LCC (Lack of Component Cohesion) = 0.67
TrackMate,fiji.plugin.trackmate.util,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate.graph; fiji.plugin.trackmate.
TrackMate,fiji.plugin.trackmate.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fiji.plugin.trackmate.util; fiji.plugin.trackmate.visualization.table; fiji.plugin.trackmate.util
TrackMate,fiji.plugin.trackmate.util.cli,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
