Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
TrackMate,fiji.plugin.trackmate.action,ExportStatsTablesAction.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TrackMate,fiji.plugin.trackmate.action,ExportStatsTablesAction.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,ExportTracksToXML,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NAME; KEY; INFO_TEXT; CONTENT_KEY; DATE_ATT; PHYSUNIT_ATT; FRAMEINTERVAL_ATT; FRAMEINTERVALUNIT_ATT; FROM_ATT; NTRACKS_ATT; NSPOTS_ATT; TRACK_KEY; SPOT_KEY; X_ATT; Y_ATT; Z_ATT; T_ATT
TrackMate,fiji.plugin.trackmate.action,ExportTracksToXML,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTMAction
TrackMate,fiji.plugin.trackmate.action,ExportTracksToXML.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TrackMate,fiji.plugin.trackmate.action,ExportTracksToXML.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NAME; KEY; INFO_TEXT; diameterFactor; dimChoice; RESIZE_FACTOR
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTMAction
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction.ExtractTrackStackActionFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction.ExtractTrackStackActionFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,IcyTrackExporter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,IcyTrackExporter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTMAction
TrackMate,fiji.plugin.trackmate.action,IcyTrackExporter.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TrackMate,fiji.plugin.trackmate.action,IcyTrackExporter.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,Feature Envy,The tool detected a instance of this smell because export is more interested in members of the type: Logger
