Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
TrackMate,fiji.plugin.trackmate.action,ExportAllSpotsStatsAction,execute,3,1,4,52,0,fiji.plugin.trackmate.util.TMUtils,fiji.plugin.trackmate.util.TMUtils; fiji.plugin.trackmate.visualization.table.AllSpotsTableView; fiji.plugin.trackmate.action.ExportAllSpotsStatsAction; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,ExportAllSpotsStatsAction,createSpotsTable,3,1,4,58,0,,
TrackMate,fiji.plugin.trackmate.action,ExportStatsTablesAction,execute,3,1,4,58,0,fiji.plugin.trackmate.util.TMUtils,fiji.plugin.trackmate.util.TMUtils; fiji.plugin.trackmate.visualization.table.TrackTableView; fiji.plugin.trackmate.action.ExportStatsTablesAction; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,ExportStatsTablesAction,createTrackTables,3,1,4,64,0,,
TrackMate,fiji.plugin.trackmate.action,ExportTracksToXML,export,6,1,3,73,0,fiji.plugin.trackmate.action.ExportTracksToXML,fiji.plugin.trackmate.action.ExportTracksToXML
TrackMate,fiji.plugin.trackmate.action,ExportTracksToXML,execute,46,3,4,97,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.action.ExportTracksToXML; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.io.IOUtils; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,ExportTracksToXML,marshall,36,3,3,159,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.util.TMUtils; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,execute,70,7,4,94,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.SelectionModel; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.action.ExtractTrackStackAction; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,9,1,4,198,0,fiji.plugin.trackmate.action.ExtractTrackStackAction,fiji.plugin.trackmate.action.ExtractTrackStackAction; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,39,6,5,213,0,fiji.plugin.trackmate.TrackModel,fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,62,12,5,271,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.util.TMUtils; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.visualization.trackscheme.SpotIconGrabber
TrackMate,fiji.plugin.trackmate.action,IcyTrackExporter,execute,43,5,4,53,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.io.IcyTrackFormatWriter; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.io.IOUtils; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,IJRoiExporter,8,1,2,61,0,fiji.plugin.trackmate.detection.DetectionUtils,fiji.plugin.trackmate.detection.DetectionUtils
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,export,13,2,1,71,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.action.IJRoiExporter
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,export,22,2,1,87,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.SpotRoi; fiji.plugin.trackmate.action.IJRoiExporter
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,toFloat,5,2,1,114,0,,
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,count,5,2,1,122,0,,
TrackMate,fiji.plugin.trackmate.action,ISBIChallengeExporter,execute,20,2,4,70,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.io.IOUtils; fiji.plugin.trackmate.action.ISBIChallengeExporter; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,ISBIChallengeExporter,exportToFile,3,1,3,97,0,fiji.plugin.trackmate.Model,fiji.plugin.trackmate.Model; fiji.plugin.trackmate.action.ISBIChallengeExporter
TrackMate,fiji.plugin.trackmate.action,ISBIChallengeExporter,exportToFile,23,2,4,102,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.Model; fiji.plugin.trackmate.action.ISBIChallengeExporter
TrackMate,fiji.plugin.trackmate.action,ISBIChallengeExporter,marshall,53,4,2,133,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,execute,19,3,4,81,0,fiji.plugin.trackmate.action.LabelImgExporterPanel,fiji.plugin.trackmate.action.LabelImgExporterPanel; fiji.plugin.trackmate.action.LabelImgExporter
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,3,1,4,123,0,fiji.plugin.trackmate.action.LabelImgExporter,fiji.plugin.trackmate.action.LabelImgExporter
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,3,1,5,157,0,fiji.plugin.trackmate.action.LabelImgExporter,fiji.plugin.trackmate.action.LabelImgExporter; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,3,1,5,194,0,fiji.plugin.trackmate.action.LabelImgExporter,fiji.plugin.trackmate.action.LabelImgExporter
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,9,1,6,228,0,fiji.plugin.trackmate.action.LabelImgExporter,fiji.plugin.trackmate.action.LabelImgExporter
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,3,1,6,278,0,fiji.plugin.trackmate.action.LabelImgExporter,fiji.plugin.trackmate.action.LabelImgExporter
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,10,2,7,312,0,fiji.plugin.trackmate.action.LabelImgExporter,fiji.plugin.trackmate.action.LabelImgExporter; fiji.plugin.trackmate.visualization.GlasbeyLut
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,3,1,6,359,0,fiji.plugin.trackmate.action.LabelImgExporter,fiji.plugin.trackmate.action.LabelImgExporter
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,20,3,7,394,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.SpotCollection; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,0,7,7,473,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.SpotCollection
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,LabelIdPainting,4,1,2,676,0,,
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,toString,3,1,0,682,0,,
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,getInfo,3,1,0,688,0,,
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,idGenerator,0,5,2,693,0,,
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,LabelImgExporterPanel,29,1,0,48,0,,
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,isExportSpotsAsDots,3,1,0,88,0,,
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,isExportTracksOnly,3,1,0,93,0,,
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,labelIdPainting,3,1,0,98,0,,
TrackMate,fiji.plugin.trackmate.action,MergeFileAction,execute,55,8,4,68,0,fiji.plugin.trackmate.Model,fiji.plugin.trackmate.Model; fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.util.TMUtils; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.io.TmXmlReader; fiji.plugin.trackmate.io.IOUtils
TrackMate,fiji.plugin.trackmate.action,MotilityLabExporter,execute,9,1,4,98,0,fiji.plugin.trackmate.action.MotilityLabExporter,fiji.plugin.trackmate.action.MotilityLabExporter; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,MotilityLabExporter,createSpotTable,29,6,1,115,0,fiji.plugin.trackmate.TrackModel,fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,MotilityLabExporter,main,8,1,1,308,0,fiji.plugin.trackmate.gui.displaysettings.DisplaySettingsIO,fiji.plugin.trackmate.gui.displaysettings.DisplaySettingsIO; fiji.plugin.trackmate.io.TmXmlReader; fiji.plugin.trackmate.action.MotilityLabExporter
TrackMate,fiji.plugin.trackmate.action,PlotNSpotsVsTimeAction,execute,26,2,4,65,0,fiji.plugin.trackmate.gui.GuiUtils,fiji.plugin.trackmate.gui.GuiUtils; fiji.plugin.trackmate.SpotCollection; fiji.plugin.trackmate.features.AbstractFeatureGrapher; fiji.plugin.trackmate.Model; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,RecomputeFeatureAction,execute,3,1,4,54,0,fiji.plugin.trackmate.action.RecomputeFeatureAction,fiji.plugin.trackmate.action.RecomputeFeatureAction
TrackMate,fiji.plugin.trackmate.action,RecomputeFeatureAction,recompute,19,5,2,95,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.SpotCollection; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.Model; fiji.plugin.trackmate.Settings; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,ResetSpotTimeFeatureAction,execute,17,4,4,55,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.SpotCollection; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action,TrackBranchAnalysis,execute,3,1,4,56,0,fiji.plugin.trackmate.util.TMUtils,fiji.plugin.trackmate.util.TMUtils; fiji.plugin.trackmate.visualization.table.BranchTableView; fiji.plugin.trackmate.action.TrackBranchAnalysis; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,TrackBranchAnalysis,createBranchTable,3,1,3,62,0,,
TrackMate,fiji.plugin.trackmate.action,TrackMateAction,execute,0,1,4,40,0,,
TrackMate,fiji.plugin.trackmate.action,TrackMateAction,setLogger,0,1,1,55,0,,
TrackMate,fiji.plugin.trackmate.action,TrackMateActionFactory,create,0,1,0,28,0,,
TrackMate,fiji.plugin.trackmate.action,TrimNotVisibleAction,execute,23,6,4,62,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.Model; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.SpotCollection; fiji.plugin.trackmate.TrackModel
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInLinearTracksAreClosed,23,1,0,45,0,fiji.plugin.trackmate.Model,fiji.plugin.trackmate.Model; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.action.closegaps.CloseGapsByLinearInterpolation; fiji.plugin.trackmate.action.CloseGapsByLinearInterpolationActionTest; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,26,1,0,84,0,fiji.plugin.trackmate.Model,fiji.plugin.trackmate.Model; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.action.closegaps.CloseGapsByLinearInterpolation; fiji.plugin.trackmate.action.CloseGapsByLinearInterpolationActionTest; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingBackwardsTracksAreClosed,26,1,0,126,0,fiji.plugin.trackmate.Model,fiji.plugin.trackmate.Model; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.action.closegaps.CloseGapsByLinearInterpolation; fiji.plugin.trackmate.action.CloseGapsByLinearInterpolationActionTest; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,checkPositions,10,2,2,167,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,createSpot,5,1,3,181,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot
TrackMate,fiji.plugin.trackmate.action,CTCExporterTestDrive,main,6,1,1,33,0,fiji.plugin.trackmate.LoadTrackMatePlugIn,fiji.plugin.trackmate.LoadTrackMatePlugIn
TrackMate,fiji.plugin.trackmate.action,SpotGaussianFitterExample,main,23,1,1,51,0,fiji.plugin.trackmate.io.TmXmlReader,fiji.plugin.trackmate.io.TmXmlReader; fiji.plugin.trackmate.visualization.TrackMateModelView; fiji.plugin.trackmate.gui.GuiUtils; fiji.plugin.trackmate.action.fit.SpotFitterController; fiji.plugin.trackmate.gui.wizard.WizardSequence; fiji.plugin.trackmate.gui.wizard.TrackMateWizardSequence; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingAction,execute,4,1,4,43,0,fiji.plugin.trackmate.action.autonaming.AutoNamingController,fiji.plugin.trackmate.action.autonaming.AutoNamingController
