Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Long Statement,The length of the statement "final TrackBranchDecomposition decomposition=ConvexBranchesDecomposition.processTrack(trackID`trackModel`neighborIndex`forbidMiddleLinks`forbidGaps);" is 149.,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Long Statement,The length of the statement "final SimpleDirectedGraph<List<Spot>`DefaultEdge> branchGraph=ConvexBranchesDecomposition.buildBranchGraph(decomposition);" is 122.,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Magic Number,The method contains a magic number: 3,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Magic Number,The method contains a magic number: 4,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,exportTrackingData,Magic Number,The method contains a magic number: 3,355
TrackMate,fiji.plugin.trackmate.action,CTCExporter,sanitizeAndCopy,Complex Method,Cyclomatic complexity of the method is 11,529
TrackMate,fiji.plugin.trackmate.action,CTCExporter,sanitizeAndCopy,Magic Number,The method contains a magic number: 1.2,529
TrackMate,fiji.plugin.trackmate.action,CTCExporter,createLabelImg,Long Statement,The length of the statement "final Img<UnsignedShortType> lblImg=Util.getArrayOrCellImgFactory(targetSize`new UnsignedShortType()).create(targetSize);" is 121.,633
TrackMate,fiji.plugin.trackmate.action,CTCExporterAction,execute,Long Statement,The length of the statement "final String[] valuesStr=Arrays.stream(ExportType.values()).map(ExportType::toString).collect(Collectors.toList()).toArray(new String[]{});" is 139.,55
TrackMate,fiji.plugin.trackmate.action,ExportAllSpotsStatsAction,execute,Long Statement,The length of the statement "createSpotsTable(trackmate.getModel()`selectionModel`displaySettings`TMUtils.getImagePathWithoutExtension(trackmate.getSettings())).render();" is 141.,52
TrackMate,fiji.plugin.trackmate.action,ExportStatsTablesAction,execute,Long Statement,The length of the statement "createTrackTables(trackmate.getModel()`selectionModel`displaySettings`TMUtils.getImagePathWithoutExtension(trackmate.getSettings())).render();" is 142.,58
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,execute,Magic Number,The method contains a magic number: 0.1,94
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,execute,Magic Number,The method contains a magic number: 5.1,94
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,execute,Magic Number,The method contains a magic number: 2,94
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,execute,Magic Number,The method contains a magic number: 2,94
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,execute,Magic Number,The method contains a magic number: 2,94
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,execute,Magic Number,The method contains a magic number: 2,94
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Long Parameter List,The method has 5 parameters. ,213
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Complex Method,Cyclomatic complexity of the method is 12,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Long Parameter List,The method has 5 parameters. ,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,ExtractTrackStackAction,trackStack,Magic Number,The method contains a magic number: 2,271
TrackMate,fiji.plugin.trackmate.action,IcyTrackExporter,execute,Magic Number,The method contains a magic number: 3,53
TrackMate,fiji.plugin.trackmate.action,IcyTrackExporter,execute,Magic Number,The method contains a magic number: 2,53
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,export,Magic Number,The method contains a magic number: 2.,87
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,export,Magic Number,The method contains a magic number: 2.,87
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,export,Magic Number,The method contains a magic number: 0.5,87
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,export,Magic Number,The method contains a magic number: 2.,87
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,export,Magic Number,The method contains a magic number: 0.5,87
TrackMate,fiji.plugin.trackmate.action,IJRoiExporter,export,Magic Number,The method contains a magic number: 2,87
TrackMate,fiji.plugin.trackmate.action,ISBIChallengeExporter,marshall,Magic Number,The method contains a magic number: 2,133
TrackMate,fiji.plugin.trackmate.action,ISBIChallengeExporter,marshall,Magic Number,The method contains a magic number: 3,133
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,execute,Long Statement,The length of the statement "final int userInput=JOptionPane.showConfirmDialog(gui`panel`"Export to label image"`JOptionPane.OK_CANCEL_OPTION`JOptionPane.QUESTION_MESSAGE`TRACKMATE_ICON);" is 158.,81
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Parameter List,The method has 5 parameters. ,157
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Statement,The length of the statement "return createLabelImagePlus(trackmate.getModel()`trackmate.getSettings().imp`exportSpotsAsDots`exportTracksOnly`labelIdPainting`logger);" is 136.,157
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Parameter List,The method has 5 parameters. ,194
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Parameter List,The method has 6 parameters. ,228
